ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Pcsk2os1	ENSMUSG00000086171	NA	Pcsk2os1	2	proprotein convertase subtilisin/kexin type 2, opposite strand 1	lncRNA
Pcsk2	ENSMUSG00000027419	18549	Pcsk2	2	proprotein convertase subtilisin/kexin type 2	protein_coding
Bfsp1	ENSMUSG00000027420	12075	Bfsp1	2	beaded filament structural protein 1, in lens-CP94	protein_coding
Dstn	ENSMUSG00000015932	56431	Dstn	2	destrin	protein_coding
Rrbp1	ENSMUSG00000027422	81910	Rrbp1	2	ribosome binding protein 1	protein_coding
Banf2os	ENSMUSG00000086384	NA	Banf2os	2	barrier to autointegration factor 2, opposite strand	lncRNA
Gm5535	ENSMUSG00000074758	NA	Gm5535	2	predicted gene 5535	lncRNA
Snx5	ENSMUSG00000027423	69178	Snx5	2	sorting nexin 5	protein_coding
Mgme1	ENSMUSG00000027424	74528	Mgme1	2	mitochondrial genome maintenance exonuclease 1	protein_coding
Ovol2	ENSMUSG00000037279	107586	Ovol2	2	ovo like zinc finger 2	protein_coding
Kat14	ENSMUSG00000027425	228714	Kat14	2	lysine acetyltransferase 14	protein_coding
Dzank1	ENSMUSG00000037259	241688	Dzank1	2	double zinc ribbon and ankyrin repeat domains 1	protein_coding
Polr3f	ENSMUSG00000027427	70408	Polr3f	2	polymerase (RNA) III (DNA directed) polypeptide F	protein_coding
Rbbp9	ENSMUSG00000027428	26450	Rbbp9	2	retinoblastoma binding protein 9, serine hydrolase	protein_coding
Sec23b	ENSMUSG00000027429	27054	Sec23b	2	SEC23 homolog B, COPII coat complex component	protein_coding
Smim26	ENSMUSG00000074754	228715	Smim26	2	small integral membrane protein 26	protein_coding
Dtd1	ENSMUSG00000027430	66044	Dtd1	2	D-tyrosyl-tRNA deacylase 1	protein_coding
Slc24a3	ENSMUSG00000063873	94249	Slc24a3	2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	protein_coding
Rin2	ENSMUSG00000001768	74030	Rin2	2	Ras and Rab interactor 2	protein_coding
Naa20	ENSMUSG00000002728	67877	Naa20	2	N(alpha)-acetyltransferase 20, NatB catalytic subunit	protein_coding
Crnkl1	ENSMUSG00000001767	66877	Crnkl1	2	crooked neck pre-mRNA splicing factor 1	protein_coding
Cfap61	ENSMUSG00000037143	78774	Cfap61	2	cilia and flagella associated protein 61	protein_coding
Ralgapa2	ENSMUSG00000037110	241694	Ralgapa2	2	Ral GTPase activating protein, alpha subunit 2 (catalytic)	protein_coding
Kiz	ENSMUSG00000074749	228730	Kiz	2	kizuna centrosomal protein	protein_coding
Xrn2	ENSMUSG00000027433	24128	Xrn2	2	5'-3' exoribonuclease 2	protein_coding
Nkx2-4	ENSMUSG00000054160	228731	Nkx2-4	2	NK2 homeobox 4	protein_coding
Pax1	ENSMUSG00000037034	18503	Pax1	2	paired box 1	protein_coding
Thbd	ENSMUSG00000074743	21824	Thbd	2	thrombomodulin	protein_coding
Cd93	ENSMUSG00000027435	17064	Cd93	2	CD93 antigen	protein_coding
Gm14120	ENSMUSG00000087678	NA	Gm14120	2	predicted gene 14120	lncRNA
Nxt1	ENSMUSG00000036992	56488	Nxt1	2	NTF2-related export protein 1	protein_coding
Gzf1	ENSMUSG00000027439	74533	Gzf1	2	GDNF-inducible zinc finger protein 1	protein_coding
Napb	ENSMUSG00000027438	17957	Napb	2	N-ethylmaleimide sensitive fusion protein attachment protein beta	protein_coding
Cst3	ENSMUSG00000027447	13010	Cst3	2	cystatin C	protein_coding
Syndig1	ENSMUSG00000074736	433485	Syndig1	2	synapse differentiation inducing 1	protein_coding
Zfp120	ENSMUSG00000068134	104348	Zfp120	2	zinc finger protein 120	protein_coding
Gm14139	ENSMUSG00000079009	100271882	Gm14139	2	predicted gene 14139	protein_coding
Zfp937	ENSMUSG00000060336	245174	Zfp937	2	zinc finger protein 937	protein_coding
Gm21994	ENSMUSG00000074735	NA	Gm21994	2	predicted gene 21994	protein_coding
Gm14124	ENSMUSG00000079008	100216455	Gm14124	2	predicted gene 14124	protein_coding
3300002I08Rik	ENSMUSG00000063364	69277	3300002I08Rik	2	RIKEN cDNA 3300002I08 gene	protein_coding
Gm10130	ENSMUSG00000095315	102633750	Gm10130	2	predicted gene 10130	protein_coding
Zfp442	ENSMUSG00000068130	668923	Zfp442	2	zinc finger protein 442	protein_coding
Apmap	ENSMUSG00000033096	71881	Apmap	2	adipocyte plasma membrane associated protein	protein_coding
Acss1	ENSMUSG00000027452	68738	Acss1	2	acyl-CoA synthetase short-chain family member 1	protein_coding
Entpd6	ENSMUSG00000033068	12497	Entpd6	2	ectonucleoside triphosphate diphosphohydrolase 6	protein_coding
Pygb	ENSMUSG00000033059	110078	Pygb	2	brain glycogen phosphorylase	protein_coding
Abhd12	ENSMUSG00000032046	76192	Abhd12	2	abhydrolase domain containing 12	protein_coding
Gins1	ENSMUSG00000027454	69270	Gins1	2	GINS complex subunit 1 (Psf1 homolog)	protein_coding
Ninl	ENSMUSG00000068115	78177	Ninl	2	ninein-like	protein_coding
Nanp	ENSMUSG00000053916	67311	Nanp	2	N-acetylneuraminic acid phosphatase	protein_coding
Nsfl1c	ENSMUSG00000027455	386649	Nsfl1c	2	NSFL1 (p97) cofactor (p47)	protein_coding
Gm14167	ENSMUSG00000087433	NA	Gm14167	2	predicted gene 14167	lncRNA
Fkbp1a	ENSMUSG00000032966	14225	Fkbp1a	2	FK506 binding protein 1a	protein_coding
Sdcbp2	ENSMUSG00000027456	228765	Sdcbp2	2	syndecan binding protein (syntenin) 2	protein_coding
Snph	ENSMUSG00000027457	241727	Snph	2	syntaphilin	protein_coding
Tmem74b	ENSMUSG00000044364	108832	Tmem74b	2	transmembrane protein 74B	protein_coding
Psmf1	ENSMUSG00000032869	228769	Psmf1	2	proteasome (prosome, macropain) inhibitor subunit 1	protein_coding
Rspo4	ENSMUSG00000032852	228770	Rspo4	2	R-spondin 4	protein_coding
Rspo4os	ENSMUSG00000086620	NA	Rspo4os	2	R-spondin 4, opposite strand	lncRNA
Angpt4	ENSMUSG00000027460	11602	Angpt4	2	angiopoietin 4	protein_coding
Gm14154	ENSMUSG00000087004	NA	Gm14154	2	predicted gene 14154	lncRNA
Fam110a	ENSMUSG00000027459	73847	Fam110a	2	family with sequence similarity 110, member A	protein_coding
Slc52a3	ENSMUSG00000027463	69698	Slc52a3	2	solute carrier protein family 52, member 3	protein_coding
Srxn1	ENSMUSG00000032802	76650	Srxn1	2	sulfiredoxin 1 homolog (S. cerevisiae)	protein_coding
Tcf15	ENSMUSG00000068079	21407	Tcf15	2	transcription factor 15	protein_coding
Csnk2a1	ENSMUSG00000074698	12995	Csnk2a1	2	casein kinase 2, alpha 1 polypeptide	protein_coding
Tbc1d20	ENSMUSG00000027465	67231	Tbc1d20	2	TBC1 domain family, member 20	protein_coding
Rbck1	ENSMUSG00000027466	24105	Rbck1	2	RanBP-type and C3HC4-type zinc finger containing 1	protein_coding
Trib3	ENSMUSG00000032715	228775	Trib3	2	tribbles pseudokinase 3	protein_coding
Nrsn2	ENSMUSG00000059361	228777	Nrsn2	2	neurensin 2	protein_coding
Sox12	ENSMUSG00000051817	20667	Sox12	2	SRY (sex determining region Y)-box 12	protein_coding
Zcchc3	ENSMUSG00000074682	67917	Zcchc3	2	zinc finger, CCHC domain containing 3	protein_coding
6820408C15Rik	ENSMUSG00000032680	228778	6820408C15Rik	2	RIKEN cDNA 6820408C15 gene	protein_coding
Defb45	ENSMUSG00000062124	433490	Defb45	2	defensin beta 45	protein_coding
Defb36	ENSMUSG00000044863	266620	Defb36	2	defensin beta 36	protein_coding
Defb25	ENSMUSG00000074678	654459	Defb25	2	defensin beta 25	protein_coding
Rem1	ENSMUSG00000000359	19700	Rem1	2	rad and gem related GTP binding protein 1	protein_coding
1700030C14Rik	ENSMUSG00000087148	NA	1700030C14Rik	2	RIKEN cDNA 1700030C14 gene	lncRNA
H13	ENSMUSG00000019188	14950	H13	2	histocompatibility 13	protein_coding
Mcts2	ENSMUSG00000042814	66405	Mcts2	2	malignant T cell amplified sequence 2	protein_coding
Id1	ENSMUSG00000042745	15901	Id1	2	inhibitor of DNA binding 1, HLH protein	protein_coding
Cox4i2	ENSMUSG00000009876	84682	Cox4i2	2	cytochrome c oxidase subunit 4I2	protein_coding
Bcl2l1	ENSMUSG00000007659	12048	Bcl2l1	2	BCL2-like 1	protein_coding
Tpx2	ENSMUSG00000027469	72119	Tpx2	2	TPX2, microtubule-associated	protein_coding
Mylk2	ENSMUSG00000027470	228785	Mylk2	2	myosin, light polypeptide kinase 2, skeletal muscle	protein_coding
Foxs1	ENSMUSG00000074676	14239	Foxs1	2	forkhead box S1	protein_coding
Dusp15	ENSMUSG00000042662	252864	Dusp15	2	dual specificity phosphatase-like 15	protein_coding
Ttll9	ENSMUSG00000074673	74711	Ttll9	2	tubulin tyrosine ligase-like family, member 9	protein_coding
Pdrg1	ENSMUSG00000027472	68559	Pdrg1	2	p53 and DNA damage regulated 1	protein_coding
Ccm2l	ENSMUSG00000027474	228788	Ccm2l	2	cerebral cavernous malformation 2-like	protein_coding
Hck	ENSMUSG00000003283	15162	Hck	2	hemopoietic cell kinase	protein_coding
Tm9sf4	ENSMUSG00000068040	99237	Tm9sf4	2	transmembrane 9 superfamily protein member 4	protein_coding
Tspyl3	ENSMUSG00000074671	241732	Tspyl3	2	TSPY-like 3	protein_coding
Plagl2	ENSMUSG00000051413	54711	Plagl2	2	pleiomorphic adenoma gene-like 2	protein_coding
Pofut1	ENSMUSG00000046020	140484	Pofut1	2	protein O-fucosyltransferase 1	protein_coding
Kif3b	ENSMUSG00000027475	16569	Kif3b	2	kinesin family member 3B	protein_coding
Asxl1	ENSMUSG00000042548	228790	Asxl1	2	additional sex combs like 1	protein_coding
Nol4l	ENSMUSG00000061411	329540	Nol4l	2	nucleolar protein 4-like	protein_coding
Commd7	ENSMUSG00000056941	99311	Commd7	2	COMM domain containing 7	protein_coding
Dnmt3bos	ENSMUSG00000079000	NA	Dnmt3bos	2	DNA methyltransferase 3B, opposite strand	lncRNA
Dnmt3b	ENSMUSG00000027478	13436	Dnmt3b	2	DNA methyltransferase 3B	protein_coding
Mapre1	ENSMUSG00000027479	13589	Mapre1	2	microtubule-associated protein, RP/EB family, member 1	protein_coding
Efcab8	ENSMUSG00000044083	NA	Efcab8	2	EF-hand calcium binding domain 8	protein_coding
Bpifb5	ENSMUSG00000038572	228802	Bpifb5	2	BPI fold containing family B, member 5	protein_coding
Cdk5rap1	ENSMUSG00000027487	66971	Cdk5rap1	2	CDK5 regulatory subunit associated protein 1	protein_coding
Snta1	ENSMUSG00000027488	20648	Snta1	2	syntrophin, acidic 1	protein_coding
Cbfa2t2	ENSMUSG00000038533	12396	Cbfa2t2	2	CBFA2/RUNX1 translocation partner 2	protein_coding
Necab3	ENSMUSG00000027489	56846	Necab3	2	N-terminal EF-hand calcium binding protein 3	protein_coding
1700003F12Rik	ENSMUSG00000038523	75480	1700003F12Rik	2	RIKEN cDNA 1700003F12 gene	protein_coding
E2f1	ENSMUSG00000027490	13555	E2f1	2	E2F transcription factor 1	protein_coding
Pxmp4	ENSMUSG00000000876	59038	Pxmp4	2	peroxisomal membrane protein 4	protein_coding
Zfp341	ENSMUSG00000059842	228807	Zfp341	2	zinc finger protein 341	protein_coding
Gm14198	ENSMUSG00000085483	NA	Gm14198	2	predicted gene 14198	lncRNA
Chmp4b	ENSMUSG00000038467	75608	Chmp4b	2	charged multivesicular body protein 4B	protein_coding
Raly	ENSMUSG00000027593	19383	Raly	2	hnRNP-associated with lethal yellow	protein_coding
a	ENSMUSG00000027596	50518	a	2	nonagouti	protein_coding
Eif2s2	ENSMUSG00000074656	67204	Eif2s2	2	eukaryotic translation initiation factor 2, subunit 2 (beta)	protein_coding
Ahcy	ENSMUSG00000027597	269378	Ahcy	2	S-adenosylhomocysteine hydrolase	protein_coding
Itch	ENSMUSG00000027598	16396	Itch	2	itchy, E3 ubiquitin protein ligase	protein_coding
Dynlrb1	ENSMUSG00000047459	67068	Dynlrb1	2	dynein light chain roadblock-type 1	protein_coding
Map1lc3a	ENSMUSG00000027602	66734	Map1lc3a	2	microtubule-associated protein 1 light chain 3 alpha	protein_coding
Pigu	ENSMUSG00000038383	228812	Pigu	2	phosphatidylinositol glycan anchor biosynthesis, class U	protein_coding
Trp53inp2	ENSMUSG00000038375	68728	Trp53inp2	2	transformation related protein 53 inducible nuclear protein 2	protein_coding
Ncoa6	ENSMUSG00000038369	56406	Ncoa6	2	nuclear receptor coactivator 6	protein_coding
Ggt7	ENSMUSG00000027603	207182	Ggt7	2	gamma-glutamyltransferase 7	protein_coding
Acss2	ENSMUSG00000027605	60525	Acss2	2	acyl-CoA synthetase short-chain family member 2	protein_coding
Gss	ENSMUSG00000027610	14854	Gss	2	glutathione synthetase	protein_coding
Myh7b	ENSMUSG00000074652	668940	Myh7b	2	myosin, heavy chain 7B, cardiac muscle, beta	protein_coding
Trpc4ap	ENSMUSG00000038324	56407	Trpc4ap	2	transient receptor potential cation channel, subfamily C, member 4 associated protein	protein_coding
Edem2	ENSMUSG00000038312	108687	Edem2	2	ER degradation enhancer, mannosidase alpha-like 2	protein_coding
Procr	ENSMUSG00000027611	19124	Procr	2	protein C receptor, endothelial	protein_coding
Mmp24	ENSMUSG00000027612	17391	Mmp24	2	matrix metallopeptidase 24	protein_coding
BC029722	ENSMUSG00000074649	NA	BC029722	2	cDNA sequence BC029722	protein_coding
Eif6	ENSMUSG00000027613	16418	Eif6	2	eukaryotic translation initiation factor 6	protein_coding
Gm16098	ENSMUSG00000086754	NA	Gm16098	2	predicted gene 16098	lncRNA
Fam83c	ENSMUSG00000074647	71405	Fam83c	2	family with sequence similarity 83, member C	protein_coding
Uqcc1	ENSMUSG00000005882	56046	Uqcc1	2	ubiquinol-cytochrome c reductase complex assembly factor 1	protein_coding
Gdf5	ENSMUSG00000038259	14563	Gdf5	2	growth differentiation factor 5	protein_coding
Cep250	ENSMUSG00000038241	16328	Cep250	2	centrosomal protein 250	protein_coding
6430550D23Rik	ENSMUSG00000074646	320095	6430550D23Rik	2	RIKEN cDNA 6430550D23 gene	protein_coding
Ergic3	ENSMUSG00000005881	66366	Ergic3	2	ERGIC and golgi 3	protein_coding
Fer1l4	ENSMUSG00000013338	74562	Fer1l4	2	fer-1-like 4 (C. elegans)	protein_coding
Spag4	ENSMUSG00000038180	245865	Spag4	2	sperm associated antigen 4	protein_coding
Cpne1	ENSMUSG00000074643	266692	Cpne1	2	copine I	protein_coding
Rbm12	ENSMUSG00000089824	75710	Rbm12	2	RNA binding motif protein 12	protein_coding
Nfs1	ENSMUSG00000027618	18041	Nfs1	2	nitrogen fixation gene 1 (S. cerevisiae)	protein_coding
Romo1	ENSMUSG00000067847	67067	Romo1	2	reactive oxygen species modulator 1	protein_coding
Rbm39	ENSMUSG00000027620	170791	Rbm39	2	RNA binding motif protein 39	protein_coding
Phf20	ENSMUSG00000038116	228829	Phf20	2	PHD finger protein 20	protein_coding
Scand1	ENSMUSG00000046229	19018	Scand1	2	SCAN domain-containing 1	protein_coding
Cnbd2	ENSMUSG00000038085	70873	Cnbd2	2	cyclic nucleotide binding domain containing 2	protein_coding
2900097C17Rik	ENSMUSG00000102869	NA	2900097C17Rik	2	RIKEN cDNA 2900097C17 gene	lncRNA
Epb41l1	ENSMUSG00000027624	13821	Epb41l1	2	erythrocyte membrane protein band 4.1 like 1	protein_coding
Aar2	ENSMUSG00000027628	68295	Aar2	2	AAR2 splicing factor homolog	protein_coding
Gm14168	ENSMUSG00000055494	NA	Gm14168	2	predicted gene 14168	lncRNA
Dlgap4	ENSMUSG00000061689	228836	Dlgap4	2	DLG associated protein 4	protein_coding
Myl9	ENSMUSG00000067818	98932	Myl9	2	myosin, light polypeptide 9, regulatory	protein_coding
Gm14230	ENSMUSG00000087179	NA	Gm14230	2	predicted gene 14230	lncRNA
Tgif2	ENSMUSG00000062175	228839	Tgif2	2	TGFB-induced factor homeobox 2	protein_coding
4930518I15Rik	ENSMUSG00000074629	NA	4930518I15Rik	2	RIKEN cDNA 4930518I15 gene	TEC
1110008F13Rik	ENSMUSG00000027637	67388	Rab5if	2	RAB5 interacting factor	protein_coding
Sla2	ENSMUSG00000027636	77799	Sla2	2	Src-like-adaptor 2	protein_coding
Ndrg3	ENSMUSG00000027634	29812	Ndrg3	2	N-myc downstream regulated gene 3	protein_coding
Dsn1	ENSMUSG00000027635	66934	Dsn1	2	DSN1 homolog, MIS12 kinetochore complex component	protein_coding
Soga1	ENSMUSG00000055485	320706	Soga1	2	suppressor of glucose, autophagy associated 1	protein_coding
Samhd1	ENSMUSG00000027639	56045	Samhd1	2	SAM domain and HD domain, 1	protein_coding
Rbl1	ENSMUSG00000027641	19650	Rbl1	2	RB transcriptional corepressor like 1	protein_coding
Mroh8	ENSMUSG00000074627	629499	Mroh8	2	maestro heat-like repeat family member 8	protein_coding
Rpn2	ENSMUSG00000027642	20014	Rpn2	2	ribophorin II	protein_coding
Ghrh	ENSMUSG00000027643	14601	Ghrh	2	growth hormone releasing hormone	protein_coding
Manbal	ENSMUSG00000063019	69161	Manbal	2	mannosidase, beta A, lysosomal-like	protein_coding
Src	ENSMUSG00000027646	20779	Src	2	Rous sarcoma oncogene	protein_coding
Gm14286	ENSMUSG00000087445	NA	Gm14286	2	predicted gene 14286	lncRNA
Blcap	ENSMUSG00000067787	53619	Blcap	2	bladder cancer associated protein	protein_coding
Nnat	ENSMUSG00000067786	18111	Nnat	2	neuronatin	protein_coding
Platr27	ENSMUSG00000087547	NA	Platr27	2	pluripotency associated transcript 27	lncRNA
Ctnnbl1	ENSMUSG00000027649	66642	Ctnnbl1	2	catenin, beta like 1	protein_coding
Vstm2l	ENSMUSG00000037843	277432	Vstm2l	2	V-set and transmembrane domain containing 2-like	protein_coding
Tti1	ENSMUSG00000027650	75425	Tti1	2	TELO2 interacting protein 1	protein_coding
Rprd1b	ENSMUSG00000027651	70470	Rprd1b	2	regulation of nuclear pre-mRNA domain containing 1B	protein_coding
Tgm2	ENSMUSG00000037820	21817	Tgm2	2	transglutaminase 2, C polypeptide	protein_coding
D630003M21Rik	ENSMUSG00000037813	228846	D630003M21Rik	2	RIKEN cDNA D630003M21 gene	protein_coding
1700060C20Rik	ENSMUSG00000078957	NA	1700060C20Rik	2	RIKEN cDNA 1700060C20 gene	lncRNA
Lbp	ENSMUSG00000016024	16803	Lbp	2	lipopolysaccharide binding protein	protein_coding
Snhg11	ENSMUSG00000044349	319317	Snhg11	2	small nucleolar RNA host gene 11	protein_coding
Ralgapb	ENSMUSG00000027652	228850	Ralgapb	2	Ral GTPase activating protein, beta subunit (non-catalytic)	protein_coding
Adig	ENSMUSG00000044405	246747	Adig	2	adipogenin	protein_coding
Arhgap40	ENSMUSG00000074625	545481	Arhgap40	2	Rho GTPase activating protein 40	protein_coding
Actr5	ENSMUSG00000037761	109275	Actr5	2	ARP5 actin-related protein 5	protein_coding
Ppp1r16b	ENSMUSG00000037754	228852	Ppp1r16b	2	protein phosphatase 1, regulatory subunit 16B	protein_coding
Fam83d	ENSMUSG00000027654	71878	Fam83d	2	family with sequence similarity 83, member D	protein_coding
Dhx35	ENSMUSG00000027655	71715	Dhx35	2	DEAH (Asp-Glu-Ala-His) box polypeptide 35	protein_coding
9130015L21Rik	ENSMUSG00000086653	NA	9130015L21Rik	2	RIKEN cDNA 9130015L21 gene	lncRNA
Gm826	ENSMUSG00000074623	329554	Gm826	2	predicted gene 826	protein_coding
Mafb	ENSMUSG00000074622	16658	Mafb	2	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	protein_coding
Gm14221	ENSMUSG00000078956	NA	Gm14221	2	predicted gene 14221	lncRNA
Top1	ENSMUSG00000070544	21969	Top1	2	topoisomerase (DNA) I	protein_coding
Plcg1	ENSMUSG00000016933	18803	Plcg1	2	phospholipase C, gamma 1	protein_coding
Zhx3	ENSMUSG00000035877	320799	Zhx3	2	zinc fingers and homeoboxes 3	protein_coding
Gm16751	ENSMUSG00000085303	NA	Gm16751	2	predicted gene, 16751	lncRNA
Lpin3	ENSMUSG00000027412	64899	Lpin3	2	lipin 3	protein_coding
Chd6	ENSMUSG00000057133	71389	Chd6	2	chromodomain helicase DNA binding protein 6	protein_coding
Gm45447	ENSMUSG00000109780	NA	Gm45447	2	predicted gene 45447	lncRNA
Ptprt	ENSMUSG00000053141	19281	Ptprt	2	protein tyrosine phosphatase, receptor type, T	protein_coding
Srsf6	ENSMUSG00000016921	67996	Srsf6	2	serine/arginine-rich splicing factor 6	protein_coding
L3mbtl1	ENSMUSG00000035576	241764	L3mbtl1	2	L3MBTL1 histone methyl-lysine binding protein	protein_coding
Sgk2	ENSMUSG00000017868	27219	Sgk2	2	serum/glucocorticoid regulated kinase 2	protein_coding
Ift52	ENSMUSG00000017858	245866	Ift52	2	intraflagellar transport 52	protein_coding
Mybl2	ENSMUSG00000017861	17865	Mybl2	2	myeloblastosis oncogene-like 2	protein_coding
Tox2	ENSMUSG00000074607	269389	Tox2	2	TOX high mobility group box family member 2	protein_coding
Jph2	ENSMUSG00000017817	59091	Jph2	2	junctophilin 2	protein_coding
Oser1	ENSMUSG00000035399	66680	Oser1	2	oxidative stress responsive serine rich 1	protein_coding
2900093K20Rik	ENSMUSG00000099632	NA	2900093K20Rik	2	RIKEN cDNA 2900093K20 gene	lncRNA
Gdap1l1	ENSMUSG00000017943	228858	Gdap1l1	2	ganglioside-induced differentiation-associated protein 1-like 1	protein_coding
Fitm2	ENSMUSG00000048486	228859	Fitm2	2	fat storage-inducing transmembrane protein 2	protein_coding
2310001K24Rik	ENSMUSG00000053353	NA	2310001K24Rik	2	RIKEN cDNA 2310001K24 gene	lncRNA
R3hdml	ENSMUSG00000078949	100043899	R3hdml	2	R3H domain containing-like	protein_coding
Hnf4a	ENSMUSG00000017950	15378	Hnf4a	2	hepatic nuclear factor 4, alpha	protein_coding
Ttpal	ENSMUSG00000017679	76080	Ttpal	2	tocopherol (alpha) transfer protein-like	protein_coding
Serinc3	ENSMUSG00000017707	26943	Serinc3	2	serine incorporator 3	protein_coding
0610039K10Rik	ENSMUSG00000058812	NA	0610039K10Rik	2	RIKEN cDNA 0610039K10 gene	lncRNA
Pkig	ENSMUSG00000035268	18769	Pkig	2	protein kinase inhibitor, gamma	protein_coding
Gm16316	ENSMUSG00000087129	NA	Gm16316	2	predicted gene 16316	lncRNA
Ada	ENSMUSG00000017697	11486	Ada	2	adenosine deaminase	protein_coding
Wisp2	ENSMUSG00000027656	22403	Ccn5	2	cellular communication network factor 5	protein_coding
Rims4	ENSMUSG00000035226	241770	Rims4	2	regulating synaptic membrane exocytosis 4	protein_coding
Ywhab	ENSMUSG00000018326	54401	Ywhab	2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	protein_coding
Pabpc1l	ENSMUSG00000054582	381404	Pabpc1l	2	poly(A) binding protein, cytoplasmic 1-like	protein_coding
Tomm34	ENSMUSG00000018322	67145	Tomm34	2	translocase of outer mitochondrial membrane 34	protein_coding
Stk4	ENSMUSG00000018209	58231	Stk4	2	serine/threonine kinase 4	protein_coding
Wfdc5	ENSMUSG00000040154	209232	Wfdc5	2	WAP four-disulfide core domain 5	protein_coding
Wfdc15b	ENSMUSG00000018211	192201	Wfdc15b	2	WAP four-disulfide core domain 15B	protein_coding
Slpi	ENSMUSG00000017002	20568	Slpi	2	secretory leukocyte peptidase inhibitor	protein_coding
Matn4	ENSMUSG00000016995	17183	Matn4	2	matrilin 4	protein_coding
Sdc4	ENSMUSG00000017009	20971	Sdc4	2	syndecan 4	protein_coding
Sys1	ENSMUSG00000045503	66460	Sys1	2	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	protein_coding
Gm14302	ENSMUSG00000085760	NA	Gm14302	2	predicted gene 14302	lncRNA
Dbndd2	ENSMUSG00000017734	52840	Dbndd2	2	dysbindin (dystrobrevin binding protein 1) domain containing 2	protein_coding
Pigt	ENSMUSG00000017721	78928	Pigt	2	phosphatidylinositol glycan anchor biosynthesis, class T	protein_coding
Gm14317	ENSMUSG00000086179	NA	Gm14317	2	predicted gene 14317	lncRNA
Wfdc2	ENSMUSG00000017723	67701	Wfdc2	2	WAP four-disulfide core domain 2	protein_coding
Spint3	ENSMUSG00000074596	629747	Spint3	2	serine peptidase inhibitor, Kunitz type, 3	protein_coding
Wfdc6a	ENSMUSG00000074595	209351	Wfdc6a	2	WAP four-disulfide core domain 6A	protein_coding
Wfdc8	ENSMUSG00000070533	277343	Wfdc8	2	WAP four-disulfide core domain 8	protein_coding
Wfdc6b	ENSMUSG00000070531	433502	Wfdc6b	2	WAP four-disulfide core domain 6B	protein_coding
Wfdc9	ENSMUSG00000074594	629754	Wfdc9	2	WAP four-disulfide core domain 9	protein_coding
Wfdc13	ENSMUSG00000067704	408190	Wfdc13	2	WAP four-disulfide core domain 13	protein_coding
Spint4	ENSMUSG00000017310	78239	Spint4	2	serine protease inhibitor, Kunitz type 4	protein_coding
Wfdc3	ENSMUSG00000076434	71856	Wfdc3	2	WAP four-disulfide core domain 3	protein_coding
Dnttip1	ENSMUSG00000017299	76233	Dnttip1	2	deoxynucleotidyltransferase, terminal, interacting protein 1	protein_coding
Gm11457	ENSMUSG00000086453	NA	Gm11457	2	predicted gene 11457	lncRNA
Ube2c	ENSMUSG00000001403	68612	Ube2c	2	ubiquitin-conjugating enzyme E2C	protein_coding
Tnnc2	ENSMUSG00000017300	21925	Tnnc2	2	troponin C2, fast	protein_coding
Snx21	ENSMUSG00000050373	101113	Snx21	2	sorting nexin family member 21	protein_coding
Acot8	ENSMUSG00000017307	170789	Acot8	2	acyl-CoA thioesterase 8	protein_coding
Zswim3	ENSMUSG00000045822	67538	Zswim3	2	zinc finger SWIM-type containing 3	protein_coding
Zswim1	ENSMUSG00000017764	71971	Zswim1	2	zinc finger SWIM-type containing 1	protein_coding
Neurl2	ENSMUSG00000039873	415115	Neurl2	2	neuralized E3 ubiquitin protein ligase 2	protein_coding
Ctsa	ENSMUSG00000017760	19025	Ctsa	2	cathepsin A	protein_coding
Pltp	ENSMUSG00000017754	18830	Pltp	2	phospholipid transfer protein	protein_coding
Pcif1	ENSMUSG00000039849	228866	Pcif1	2	PDX1 C-terminal inhibiting factor 1	protein_coding
Zfp335	ENSMUSG00000039834	329559	Zfp335	2	zinc finger protein 335	protein_coding
Zfp335os	ENSMUSG00000085436	NA	Zfp335os	2	zinc finger protein 335, opposite strand	lncRNA
Mmp9	ENSMUSG00000017737	17395	Mmp9	2	matrix metallopeptidase 9	protein_coding
Slc12a5	ENSMUSG00000017740	57138	Slc12a5	2	solute carrier family 12, member 5	protein_coding
Ncoa5	ENSMUSG00000039804	228869	Ncoa5	2	nuclear receptor coactivator 5	protein_coding
Cd40	ENSMUSG00000017652	21939	Cd40	2	CD40 antigen	protein_coding
Cdh22	ENSMUSG00000053166	104010	Cdh22	2	cadherin 22	protein_coding
Slc35c2	ENSMUSG00000017664	228875	Slc35c2	2	solute carrier family 35, member C2	protein_coding
Elmo2	ENSMUSG00000017670	140579	Elmo2	2	engulfment and cell motility 2	protein_coding
Zfp334	ENSMUSG00000017667	228876	Zfp334	2	zinc finger protein 334	protein_coding
Slc13a3	ENSMUSG00000018459	114644	Slc13a3	2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	protein_coding
Trp53rka	ENSMUSG00000039725	381406	Trp53rka	2	transformation related protein 53 regulating kinase A	protein_coding
Slc2a10	ENSMUSG00000027661	170441	Slc2a10	2	solute carrier family 2 (facilitated glucose transporter), member 10	protein_coding
